spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,25,-1,-8,,2/12/2025,93,TRUE,156364,DeBÍ TiRAR MáS FOToS,1/5/2025,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1.00E-05,106.295,3
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,26,-1,7,,2/12/2025,79,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/2023,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,27,2,23,,2/12/2025,84,TRUE,177000,DAMN.,4/14/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,4
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",28,0,22,,2/12/2025,86,TRUE,278276,SOS Deluxe: LANA,12/20/2024,0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,29,-2,-16,,2/12/2025,88,TRUE,224136,Hurry Up Tomorrow,1/31/2025,0.647,0.645,7,-6.425,0,0.0303,0.0871,0,0.671,0.422,120.098,4
7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",30,0,-8,,2/12/2025,92,TRUE,235336,DeBÍ TiRAR MáS FOToS,1/5/2025,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
74tLlkN3rgVzRqQJgPfink,Money Trees,"Kendrick Lamar, Jay Rock",31,19,19,,2/12/2025,78,TRUE,386906,"good kid, m.A.A.d city",1/1/2012,0.716,0.531,7,-7.355,1,0.157,0.0709,0,0.22,0.335,71.972,4
5Z75FvRFiultmPFWHx5jQ7,7 Dias,"Gabito Ballesteros, Tito Double P",32,0,-3,,2/12/2025,84,TRUE,180688,7 Dias,1/30/2025,0.838,0.746,11,-3.749,1,0.0614,0.386,0,0.0839,0.577,111.913,3
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",33,1,-7,,2/12/2025,90,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31E-06,0.151,0.19,84.828,4
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,34,-3,-10,,2/12/2025,91,TRUE,204768,DeBÍ TiRAR MáS FOToS,1/5/2025,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",35,-2,2,,2/12/2025,90,TRUE,278014,CHROMAKOPIA,10/28/2024,0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,36,-1,-8,,2/12/2025,89,FALSE,157279,Short n' Sweet,8/23/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",37,3,4,,2/12/2025,89,TRUE,180386,Flower Boy,7/21/2017,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49E-06,0.109,0.62,78.558,4
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",38,-2,-6,,2/12/2025,90,TRUE,191018,Cosa Nuestra,11/15/2024,0.833,0.563,4,-5.593,0,0.204,0.528,1.27E-05,0.139,0.343,105.008,4
78HEzDEs1QUnHB2DbxgC1s,Te Quería Ver,"Alemán, Neton Vega",39,2,11,,2/12/2025,79,FALSE,176129,Te Quería Ver,1/31/2025,0.802,0.761,4,-5.182,0,0.0681,0.188,1.69E-05,0.0922,0.448,100.019,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,40,-1,-9,,2/12/2025,87,FALSE,208211,Strange Trails,4/6/2015,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,41,1,-5,,2/12/2025,91,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/2024,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
4DnrAI8WyUY6gkOwl8GlPN,capaz (merengueton),"Alleh, Yorghaki",42,4,8,,2/12/2025,83,FALSE,173858,LA CIUDAD,12/24/2024,0.872,0.614,3,-5.618,0,0.181,0.0815,0.000207,0.135,0.785,126.957,4
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),"The Weeknd, Anitta",43,-5,-22,,2/12/2025,83,TRUE,301623,Hurry Up Tomorrow,1/31/2025,0.538,0.658,5,-7.273,0,0.076,0.0385,0.000146,0.573,0.553,127.322,4
2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,44,-1,-10,,2/12/2025,87,FALSE,165045,Sports car,1/24/2025,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,45,-1,-15,,2/12/2025,88,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/2023,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,46,-1,-11,,2/12/2025,89,FALSE,214357,blue,8/2/2024,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",47,3,3,,2/12/2025,83,TRUE,155917,GNX,11/22/2024,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26E-05,0.173,0.314,100.042,4
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",48,-1,-2,,2/12/2025,88,FALSE,206066,Cosa Nuestra,11/15/2024,0.687,0.627,7,-4.975,1,0.181,0.326,0,0.0893,0.47,155.865,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,49,1,1,,2/12/2025,86,TRUE,201800,SOS,12/9/2022,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,50,-2,-8,,2/12/2025,85,TRUE,186365,Short n' Sweet,8/23/2024,0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",1,1,3,ZA,2/12/2025,89,FALSE,177598,GNX,11/21/2024,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
24fRfn3FOM4xk02aE4wief,Vuka (feat. Thukuthela),"Oscar Mbo, Jazzworx, Thukuthela",2,-1,-1,ZA,2/12/2025,63,FALSE,327451,Vuka (feat. Thukuthela),12/13/2024,0.738,0.455,4,-10.965,0,0.0466,0.175,0.198,0.105,0.524,118.006,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,3,2,19,ZA,2/12/2025,90,TRUE,274192,Not Like Us,5/4/2024,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
021iZJ1jjc6cZZ4sMXvcW9,Romeo & Juliet,"Naledi Aphiwe, Mawelele",4,0,1,ZA,2/12/2025,57,FALSE,307663,Romeo & Juliet,1/22/2025,0.744,0.562,2,-9.515,1,0.0475,0.241,0.0179,0.0593,0.691,125.989,3
2LeOHKRLm1Bz7eeNVinUYs,Esandleni,Nontokozo Mkhize,5,-2,-3,ZA,2/12/2025,52,FALSE,336600,Lindiwe,1/24/2025,0.477,0.683,4,-5.893,1,0.0395,0.0597,0.00045,0.335,0.495,99.768,4
2f6K1uDICmz5TrZ7wAHdUm,Uyena - Live,Sjava,6,0,0,ZA,2/12/2025,54,FALSE,347903,Inkanyezi (Live),1/31/2025,0.355,0.849,6,-5.591,1,0.164,0.476,0,0.349,0.633,143.383,4
7hO6BIPeHb0Y5v9bgXoxKg,Sohlala Sisonke,"Dlala Thukzin, Zeh McGeba, MK Productions",7,1,7,ZA,2/12/2025,61,FALSE,327457,Finally Famous Too,9/27/2024,0.715,0.765,7,-7.837,0,0.0363,0.124,0.0824,0.0391,0.733,118.026,4
4QdFYz1hjkDVDTqAKmIdOx,"Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)","DJ Maphorisa, Xduppy, Scotts Maphuma, Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane, Kabelo Sings",8,-1,0,ZA,2/12/2025,57,FALSE,578571,"Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)",1/31/2025,0.85,0.823,1,-8.95,1,0.0546,0.0126,0.000281,0.0609,0.746,112.012,4
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",9,2,20,ZA,2/12/2025,91,TRUE,220690,GNX,11/22/2024,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
1F3J7D5byxTWbEyhpizptk,Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings),"TNK MusiQ, DJ Maphorisa, Seun1401, Scotts Maphuma, Kabelo Sings",10,2,40,ZA,2/12/2025,51,FALSE,437787,Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings),1/31/2025,0.809,0.649,1,-7.403,1,0.0501,0.0878,0.00104,0.0922,0.395,113.003,4
6txAWGckgEGJIhLjhNdtE9,Residuals,Chris Brown,11,2,-4,ZA,2/12/2025,68,FALSE,215178,11:11 (Deluxe),4/10/2024,0.58,0.645,6,-7.793,0,0.0821,0.342,0,0.108,0.171,114.905,4
0DGP0pRR8yz4OW2xxjIskt,Vuma Dlozi Lami (feat. Ancestral Rituals),"Issa sisdoh, Ancestral Rituals",12,-3,-9,ZA,2/12/2025,59,FALSE,380238,Vuma Dlozi Lami (feat. Ancestral Rituals),9/12/2024,0.675,0.619,2,-8.775,1,0.0328,0.00155,0.0759,0.0456,0.759,117.988,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,13,-3,-4,ZA,2/12/2025,96,FALSE,210373,HIT ME HARD AND SOFT,5/17/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
6eyJuobFFGXLAOOkxrIdSV,All My Life,"Mawelele, Kwesta",14,2,2,ZA,2/12/2025,59,FALSE,266526,All My Life,8/30/2024,0.69,0.401,8,-9.186,1,0.0493,0.749,0.000522,0.111,0.463,95.009,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",15,-1,-3,ZA,2/12/2025,99,FALSE,251667,Die With A Smile,8/16/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
1blpjqXA4y03pWHnDbhs9l,Bo Gogo (feat. Tracy & Thatohatsi),"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",16,-1,-6,ZA,2/12/2025,60,FALSE,527129,Ntsako,12/13/2024,0.811,0.71,8,-11.21,0,0.0495,0.0147,0.0276,0.0928,0.534,113.003,4
